                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.43733,                0.45807,                0.10327,                    nan,                0.96721,                 0.9235,                0.58948,                    nan,                    nan,                    nan,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.4382,                0.45606,                0.10198,                    nan,                0.97013,                0.92758,                 0.5935,                    nan,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     60,                0.43413,                0.45421,                0.10068,                0.91942,                0.88399,                0.93794,                0.60275,                0.41372,                0.48132,                0.11456,             0.00069331,             0.00069331,             0.00069331
                     61,                0.43337,                0.45648,                0.10235,                0.92598,                0.88456,                0.94009,                0.60433,                0.41776,                 0.4701,                0.11329,              0.0006768,              0.0006768,              0.0006768
                     62,                0.43353,                0.44688,                0.10164,                0.92967,                0.87992,                0.93517,                0.59702,                0.42186,                0.47553,                0.11524,              0.0006603,              0.0006603,              0.0006603
                     63,                0.43452,                0.45042,                0.10229,                    nan,                0.97843,                0.93778,                0.60128,                    nan,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     64,                0.43108,                 0.4534,                0.09878,                    nan,                0.97013,                0.93029,                0.59222,                    nan,                    nan,                    nan,             0.00062729,             0.00062729,             0.00062729
                     65,                0.43209,                0.45101,                0.10064,                    nan,                0.98174,                0.93443,                0.60138,                    nan,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     66,                0.43264,                0.45107,                0.10039,                    nan,                0.97547,                0.93252,                0.59467,                    nan,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                     67,                0.42311,                0.44525,                0.09787,                    nan,                0.97788,                0.93681,                0.59609,                    nan,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                     68,                0.42766,                0.45223,                0.10047,                    nan,                0.97823,                0.93587,                0.60255,                    nan,                    nan,                    nan,             0.00056128,             0.00056128,             0.00056128
                     69,                0.43297,                0.44806,                0.10136,                    nan,                0.97306,                0.92902,                0.59604,                    nan,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                     70,                0.42255,                0.44675,                0.09841,                    nan,                0.97804,                0.93935,                0.60174,                    nan,                    nan,                    nan,             0.00052827,             0.00052827,             0.00052827
                     71,                0.42198,                0.44438,                0.09804,                    nan,                0.97345,                0.93514,                0.59726,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     72,                0.41638,                0.44239,                0.09729,                    nan,                0.97072,                0.92796,                0.59619,                    nan,                    nan,                    nan,             0.00049527,             0.00049527,             0.00049527
                     73,                0.41561,                0.44518,                 0.0964,                    nan,                 0.9775,                0.93211,                0.59737,                    nan,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                     74,                0.41374,                0.44535,                 0.0952,                    nan,                0.96207,                0.92057,                0.59365,                    nan,                    nan,                    nan,             0.00046226,             0.00046226,             0.00046226
                     75,                0.41257,                0.43695,                0.09687,                    nan,                0.97602,                0.93748,                0.60143,                    nan,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     76,                0.41701,                0.44196,                0.09627,                    nan,                 0.9775,                0.93581,                0.59867,                    nan,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                     77,                0.40585,                0.44022,                0.09384,                    nan,                0.97235,                0.93482,                0.59864,                    nan,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     78,                0.40719,                0.43637,                 0.0967,                    nan,                0.97072,                0.93516,                 0.5972,                    nan,                    nan,                    nan,             0.00039625,             0.00039625,             0.00039625
                     79,                0.40809,                0.42978,                0.09441,                    nan,                0.96998,                 0.9366,                0.59772,                    nan,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
                     80,                0.41205,                0.43634,                0.09598,                    nan,                0.97679,                0.93469,                0.60115,                    nan,                    nan,                    nan,             0.00036324,             0.00036324,             0.00036324
                     81,                0.40411,                0.43166,                 0.0945,                    nan,                 0.9764,                0.94186,                0.60258,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     82,                0.40165,                0.43022,                0.09294,                    nan,                0.97512,                0.93882,                0.60491,                    nan,                    nan,                    nan,             0.00033023,             0.00033023,             0.00033023
                     83,                0.39771,                0.43642,                0.09113,                    nan,                0.96644,                0.92987,                 0.5927,                    nan,                    nan,                    nan,             0.00031373,             0.00031373,             0.00031373
                     84,                0.39832,                0.42988,                0.09127,                    nan,                0.96499,                 0.9295,                 0.6013,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.3927,                0.42755,                0.09202,                    nan,                0.95857,                0.92457,                0.59496,                    nan,                    nan,                    nan,             0.00028072,             0.00028072,             0.00028072
                     86,                0.39594,                0.43139,                0.09292,                    nan,                0.97087,                0.93867,                0.60365,                    nan,                    nan,                    nan,             0.00026422,             0.00026422,             0.00026422
                     87,                0.39332,                0.42609,                0.09128,                    nan,                0.96885,                0.93775,                0.60263,                    nan,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.3965,                0.42936,                0.09367,                    nan,                0.96297,                0.93015,                0.59895,                    nan,                    nan,                    nan,             0.00023121,             0.00023121,             0.00023121
                     89,                0.40001,                0.42527,                0.09215,                    nan,                0.96445,                0.93173,                0.59984,                    nan,                    nan,                    nan,             0.00021471,             0.00021471,             0.00021471
                     90,                0.38762,                0.41962,                0.08918,                    nan,                0.96445,                0.93172,                0.60076,                    nan,                    nan,                    nan,             0.00019821,             0.00019821,             0.00019821
                     91,                0.35322,                0.40151,                0.09196,                    nan,                0.97309,                0.94408,                0.60902,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     92,                0.35089,                0.39796,                0.09157,                    nan,                0.97345,                0.94344,                0.60508,                    nan,                    nan,                    nan,              0.0001652,              0.0001652,              0.0001652
                     93,                0.34999,                0.39539,                 0.0915,                    nan,                0.97161,                0.94477,                0.60725,                    nan,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                     94,                0.34505,                0.39346,                0.09124,                    nan,                0.97695,                0.94728,                0.60776,                    nan,                    nan,                    nan,             0.00013219,             0.00013219,             0.00013219
                     95,                0.34514,                0.39289,                0.09102,                    nan,                0.97457,                0.94606,                 0.6066,                    nan,                    nan,                    nan,             0.00011569,             0.00011569,             0.00011569
                     96,                0.34376,                0.39268,                0.08929,                    nan,                0.97547,                0.94711,                0.60779,                    nan,                    nan,                    nan,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.34358,                0.38831,                0.08934,                    nan,                0.97695,                0.94657,                0.60747,                    nan,                    nan,                    nan,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.33826,                0.38807,                0.08876,                    nan,                0.97695,                0.94947,                0.60891,                    nan,                    nan,                    nan,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.33609,                 0.3834,                0.08922,                    nan,                0.97676,                0.94925,                0.61037,                    nan,                    nan,                    nan,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.33676,                0.38661,                0.08686,                    nan,                0.97878,                0.95025,                0.61015,                    nan,                    nan,                    nan,             3.3173e-05,             3.3173e-05,             3.3173e-05
